INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionH2FuelAdder,,,,,,
,,,,,,
region,supplysector,subsector,sector,year,minicam-non-energy-input,input-cost
TN,H2 central production,H2 enduse,H2 enduse,2010,tax,-7
TN,H2 central production,H2 enduse,H2 enduse,2015,tax,-7
TN,H2 central production,H2 enduse,H2 enduse,2020,tax,-7
TN,H2 central production,H2 enduse,H2 enduse,2025,tax,-7
TN,H2 central production,H2 enduse,H2 enduse,2030,tax,-7
TN,H2 central production,H2 enduse,H2 enduse,2035,tax,-7
TN,H2 central production,H2 enduse,H2 enduse,2040,tax,-7
TN,H2 central production,H2 enduse,H2 enduse,2045,tax,-7
TN,H2 central production,H2 enduse,H2 enduse,2050,tax,-7
TN,H2 central production,H2 enduse,H2 enduse,2055,tax,-7
TN,H2 central production,H2 enduse,H2 enduse,2060,tax,-7
TN,H2 central production,H2 enduse,H2 enduse,2065,tax,-7
TN,H2 central production,H2 enduse,H2 enduse,2070,tax,-7
