INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
RegionIntTechCapital,,,,,,,
,,,,,,,
region,supplysector,subsector,intermittent.technology,year,input.capital,capital.overnight,fixed.charge.rate
India,electricity,solar,CSP,1975,capital,599,0.1125
India,electricity,solar,CSP,1990,capital,599,0.1125
India,electricity,solar,CSP,2005,capital,599,0.1125
India,electricity,solar,CSP,2010,capital,518,0.17
India,electricity,solar,CSP,2015,capital,518,0.17
India,electricity,solar,CSP,2020,capital,492,0.17
India,electricity,solar,CSP,2025,capital,464,0.17
India,electricity,solar,CSP,2030,capital,448,0.17
India,electricity,solar,CSP,2035,capital,437,0.17
India,electricity,solar,CSP,2040,capital,431,0.17
India,electricity,solar,CSP,2045,capital,428,0.17
India,electricity,solar,CSP,2050,capital,425,0.17
India,electricity,solar,CSP,2055,capital,420,0.17
India,electricity,solar,CSP,2060,capital,416,0.17
India,electricity,solar,CSP,2065,capital,412,0.17
India,electricity,solar,CSP,2070,capital,408,0.17
India,electricity,solar,CSP,2075,capital,404,0.17
India,electricity,solar,CSP,2080,capital,400,0.17
India,electricity,solar,CSP,2085,capital,396,0.17
India,electricity,solar,CSP,2090,capital,392,0.17
India,electricity,solar,CSP,2095,capital,388,0.17
India,electricity,solar,CSP,2100,capital,384,0.17
India,electricity,solar,PV,1975,capital,578,0.13
India,electricity,solar,PV,1990,capital,578,0.13
India,electricity,solar,PV,2005,capital,578,0.13
India,electricity,solar,PV,2010,capital,578,0.13
India,electricity,solar,PV,2015,capital,289,0.12944
India,electricity,solar,PV,2020,capital,151,0.12163
India,electricity,solar,PV,2025,capital,136,0.12851
India,electricity,solar,PV,2030,capital,116,0.14916
India,electricity,solar,PV,2035,capital,98,0.1664
India,electricity,solar,PV,2040,capital,84,0.1947
India,electricity,solar,PV,2045,capital,71,0.2265
India,electricity,solar,PV,2050,capital,60,0.262
India,electricity,solar,PV,2055,capital,60,0.2537
India,electricity,solar,PV,2060,capital,60,0.2566
India,electricity,solar,PV,2065,capital,60,0.248
India,electricity,solar,PV,2070,capital,60,0.2497
India,electricity,solar,PV,2075,capital,60,0.2407
India,electricity,solar,PV,2080,capital,60,0.2316
India,electricity,solar,PV,2085,capital,60,0.2319
India,electricity,solar,PV,2090,capital,60,0.2225
India,electricity,solar,PV,2095,capital,60,0.2131
India,electricity,solar,PV,2100,capital,60,0.2037
India,elect_td_bld,rooftop_pv,rooftop_pv,1975,capital,2000,0.1125
India,elect_td_bld,rooftop_pv,rooftop_pv,1990,capital,2000,0.1125
India,elect_td_bld,rooftop_pv,rooftop_pv,2005,capital,2000,0.1125
India,elect_td_bld,rooftop_pv,rooftop_pv,2010,capital,2000,0.12091
India,elect_td_bld,rooftop_pv,rooftop_pv,2015,capital,2000,0.12091
India,elect_td_bld,rooftop_pv,rooftop_pv,2020,capital,2000,0.0984
India,elect_td_bld,rooftop_pv,rooftop_pv,2025,capital,2000,0.0984
India,elect_td_bld,rooftop_pv,rooftop_pv,2030,capital,2000,0.0984
India,elect_td_bld,rooftop_pv,rooftop_pv,2035,capital,2000,0.0984
India,elect_td_bld,rooftop_pv,rooftop_pv,2040,capital,2000,0.0984
India,elect_td_bld,rooftop_pv,rooftop_pv,2045,capital,2000,0.0984
India,elect_td_bld,rooftop_pv,rooftop_pv,2050,capital,2000,0.0984
India,elect_td_bld,rooftop_pv,rooftop_pv,2055,capital,2000,0.12091
India,elect_td_bld,rooftop_pv,rooftop_pv,2060,capital,2000,0.12091
India,elect_td_bld,rooftop_pv,rooftop_pv,2065,capital,2000,0.12091
India,elect_td_bld,rooftop_pv,rooftop_pv,2070,capital,2000,0.12091
India,elect_td_bld,rooftop_pv,rooftop_pv,2075,capital,2000,0.12091
India,elect_td_bld,rooftop_pv,rooftop_pv,2080,capital,2000,0.12091
India,elect_td_bld,rooftop_pv,rooftop_pv,2085,capital,2000,0.12091
India,elect_td_bld,rooftop_pv,rooftop_pv,2090,capital,2000,0.12091
India,elect_td_bld,rooftop_pv,rooftop_pv,2095,capital,2000,0.12091
India,elect_td_bld,rooftop_pv,rooftop_pv,2100,capital,2000,0.12091
India,electricity,wind,wind,1975,capital,388,0.1125
India,electricity,wind,wind,1990,capital,388,0.1125
India,electricity,wind,wind,2005,capital,388,0.1125
India,electricity,wind,wind,2010,capital,302,0.12917
India,electricity,wind,wind,2015,capital,302,0.107018811
India,electricity,wind,wind,2020,capital,281,0.073192419
India,electricity,wind,wind,2025,capital,272,0.072157576
India,electricity,wind,wind,2030,capital,261,0.071821513
India,electricity,wind,wind,2035,capital,259,0.071468582
India,electricity,wind,wind,2040,capital,254,0.07171869
India,electricity,wind,wind,2045,capital,249,0.071978844
India,electricity,wind,wind,2050,capital,244,0.072249659
India,electricity,wind,wind,2055,capital,241,0.072417542
India,electricity,wind,wind,2060,capital,239,0.072285935
India,electricity,wind,wind,2065,capital,236,0.072457836
India,electricity,wind,wind,2070,capital,234,0.072323761
India,electricity,wind,wind,2075,capital,232,0.072187375
India,electricity,wind,wind,2080,capital,229,0.072363239
India,electricity,wind,wind,2085,capital,227,0.072224197
India,electricity,wind,wind,2090,capital,225,0.072082682
India,electricity,wind,wind,2095,capital,223,0.071938629
India,electricity,wind,wind,2100,capital,220,0.072118296
